model,cv_best_f2_train,recall,f1,f2,pr_auc,roc_auc
로지스틱 회귀 (baseline),,0.9183673469387755,0.10817307692307693,0.22982635342185903,0.7198843047363647,0.9730257765036234
"로지스틱 회귀 (tuned, CV=F2)",0.9365318629051774,0.9183673469387755,0.10804321728691477,0.22959183673469388,0.721109147078659,0.9729043805197938
랜덤 포레스트 (baseline),,0.8163265306122449,0.851063829787234,0.8298755186721992,0.8726668255720861,0.9725069948491495
XGBoost (baseline),,0.8571428571428571,0.597864768683274,0.7304347826086957,0.8510093799177499,0.9744440369000724
"XGBoost (tuned, CV=F2)",0.9999349353495436,0.8469387755102041,0.8341708542713567,0.8417849898580122,0.8718630229835758,0.9790945887358883
